index,Date,Avg-W,Max-W,Avg-T,Max-T,Min-T,Avg-H,Max-H,Min-H,Avg-P,Max-P,Min-P,Avg-V,Max-V,Min-V,Pre
0,7-8,5.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,1000.6,1000.8,1000.5,0.0,0.0,0.0,0.0
1,8-8,3.3,8.0,28.4,29.4,26.3,72.4,90.6,64.3,1004.6,1006.2,1002.8,0.0,0.0,0.0,37.8
2,12-8,2.6,7.0,28.2,29.9,25.8,81.2,94.3,66.1,1007.7,1008.9,1005.2,0.0,0.0,0.0,0.6
3,13-8,2.5,10.7,27.7,31.4,25.7,77.0,92.4,56.8,1007.9,1009.6,1006.3,0.0,0.0,0.0,0.2
4,14-8,3.3,9.9,29.1,33.1,26.0,70.4,93.1,48.4,1007.4,1009.8,1004.9,0.0,0.0,0.0,0.6
5,15-8,3.4,10.3,28.9,33.9,25.7,70.3,90.7,47.5,1006.2,1008.4,1003.3,0.0,0.0,0.0,2.2
6,19-8,2.9,9.3,28.1,32.4,24.2,74.4,95.2,49.2,1007.4,1009.1,1005.3,0.0,0.0,0.0,12.4
7,20-8,4.3,11.7,29.3,34.6,26.1,67.2,85.7,45.4,1006.4,1009.1,1004.1,0.0,0.0,0.0,0.0
8,21-8,4.3,10.9,30.5,34.0,26.4,62.6,82.7,44.0,1005.8,1007.7,1003.2,0.0,0.0,0.0,0.0
9,25-8,3.9,9.7,30.0,34.0,26.5,72.3,87.8,50.6,1008.1,1009.7,1005.7,0.0,0.0,0.0,0.0
10,27-8,3.4,10.7,29.9,34.5,24.3,71.7,94.3,49.2,1006.8,1009.0,1003.3,0.0,0.0,0.0,9.6
11,9-9,2.9,13.4,27.7,32.1,23.6,79.5,95.2,57.4,1005.8,1008.3,1003.1,0.0,0.0,0.0,21.0
12,10-9,2.9,9.1,28.1,34.2,23.8,79.3,95.3,47.6,1004.5,1006.9,1001.2,0.0,0.0,0.0,29.0
13,11-9,2.8,8.6,26.3,30.5,24.3,87.6,95.2,66.2,1004.2,1006.0,1001.2,0.0,0.0,0.0,35.8
14,12-9,3.8,11.3,27.5,30.8,25.3,78.8,94.0,59.6,1005.8,1007.5,1003.1,0.0,0.0,0.0,3.0
15,13-9,2.5,12.8,28.1,31.9,25.6,79.4,93.6,57.4,1007.4,1009.3,1004.9,0.0,0.0,0.0,0.2
16,14-9,4.7,16.1,31.0,34.2,24.6,62.4,92.5,47.1,1007.3,1009.6,1004.4,0.0,0.0,0.0,27.4
17,15-9,3.5,10.7,28.4,33.1,25.7,74.6,92.4,51.6,1006.9,1009.2,1003.7,0.0,0.0,0.0,2.8
18,17-9,2.7,9.7,26.2,27.4,25.0,83.5,92.9,69.9,1008.3,1010.6,1006.6,0.0,0.0,0.0,4.6
19,18-9,3.8,13.4,27.9,33.1,23.9,73.1,93.6,44.6,1007.6,1010.5,1004.5,0.0,0.0,0.0,13.2
20,19-9,3.2,13.4,27.0,31.5,24.3,79.9,93.9,56.0,1008.6,1010.3,1005.3,0.0,0.0,0.0,14.8
21,20-9,3.7,12.8,27.2,30.7,24.3,74.4,92.3,54.9,1009.3,1011.3,1006.6,0.0,0.0,0.0,1.2
